Thu Dec  9 10:58:27 2021    cProfile_output

         15254792 function calls (14983050 primitive calls) in 20.212 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.136    0.136 debugger.py:1(<module>)
     3600    0.005    0.000    0.135    0.000 concat.py:388(<genexpr>)
        5    0.000    0.000    0.134    0.027 __init__.py:11(<module>)
60128/60118    0.041    0.000    0.134    0.000 {built-in method builtins.any}
7417/4977    0.008    0.000    0.134    0.000 base.py:680(normalize_object)
        1    0.000    0.000    0.133    0.133 completer.py:103(<module>)
        1    0.000    0.000    0.133    0.133 backend_qt5agg.py:3(<module>)
        1    0.000    0.000    0.132    0.132 _minimize.py:8(<module>)
     2420    0.014    0.000    0.131    0.000 concat.py:145(is_na)
      362    0.002    0.000    0.130    0.000 dataset.py:979(copy)
        1    0.000    0.000    0.130    0.130 __init__.py:34(<module>)
        1    0.001    0.001    0.129    0.129 backend_qt5.py:1(<module>)
       10    0.001    0.000    0.129    0.013 profile_broader_timeseries.py:50(site_data)
     1210    0.007    0.000    0.127    0.000 base.py:4000(_concat_same_dtype)
7367/2487    0.010    0.000    0.125    0.000 base.py:692(normalize_function)
        1    0.001    0.001    0.125    0.125 _continuous_distns.py:6(<module>)
      362    0.003    0.000    0.124    0.000 dataset.py:1073(<dictcomp>)
    33862    0.025    0.000    0.121    0.000 variable.py:170(as_compatible_data)
   286836    0.089    0.000    0.121    0.000 generic.py:10(_check)
     4900    0.011    0.000    0.120    0.000 base.py:4047(equals)
        2    0.000    0.000    0.120    0.060 client.py:1(<module>)
        1    0.000    0.000    0.120    0.120 RowPy.py:9(<module>)
     7050    0.003    0.000    0.119    0.000 missing.py:49(isna)
      740    0.079    0.000    0.118    0.000 {built-in method _operator.getitem}
    23400    0.011    0.000    0.118    0.000 core.py:2454(<genexpr>)
      831    0.002    0.000    0.117    0.000 __init__.py:2765(_get_metadata)
     1253    0.017    0.000    0.117    0.000 core.py:3086(unify_chunks)
2505/2483    0.014    0.000    0.116    0.000 base.py:708(_normalize_function)
     7050    0.009    0.000    0.115    0.000 missing.py:132(_isna_new)
     5960    0.005    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        7    0.000    0.000    0.113    0.016 core.py:1(<module>)
        4    0.000    0.000    0.113    0.028 __init__.py:15(<module>)
    49697    0.051    0.000    0.112    0.000 common.py:1708(_is_dtype_type)
     2040    0.009    0.000    0.111    0.000 variables.py:180(decode)
       10    0.000    0.000    0.110    0.011 resample.py:935(g)
       10    0.000    0.000    0.110    0.011 resample.py:1011(_downsample)
        1    0.000    0.000    0.110    0.110 generic.py:7(<module>)
     1210    0.003    0.000    0.109    0.000 concat.py:520(_get_comb_axis)
        1    0.000    0.000    0.109    0.109 combine.py:49(_infer_concat_order_from_coords)
     9600    0.055    0.000    0.108    0.000 local.py:248(finish_task)
      146    0.000    0.000    0.108    0.001 __init__.py:2982(_reload_version)
     5200    0.003    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      146    0.000    0.000    0.107    0.001 __init__.py:2770(_get_version)
      146    0.001    0.000    0.107    0.001 __init__.py:2548(_version_from_file)
      101    0.003    0.000    0.105    0.001 _distn_infrastructure.py:1572(__init__)
      195    0.000    0.000    0.104    0.001 utils.py:671(wrapper)
     7800    0.055    0.000    0.104    0.000 core.py:929(blockdims_from_blockshape)
     1210    0.002    0.000    0.104    0.000 api.py:65(get_objs_combined_axis)
      140    0.002    0.000    0.104    0.001 axis.py:332(_apply_params)
      195    0.003    0.000    0.104    0.001 utils.py:614(_derived_from)
     3893    0.014    0.000    0.103    0.000 blocks.py:2975(get_block_type)
