Thu Dec  9 10:56:27 2021    cProfile_output

         16113513 function calls (15818872 primitive calls) in 21.766 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      502    0.001    0.000    0.006    0.000 __init__.py:1492(_validate_resource_path)
       36    0.000    0.000    0.006    0.000 __init__.py:1494(_add_data_doc)
        4    0.000    0.000    0.159    0.040 __init__.py:15(<module>)
        1    0.000    0.000    0.041    0.041 __init__.py:15(_register_transports)
       12    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
        1    0.000    0.000    0.012    0.012 __init__.py:151(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       72    0.001    0.000    0.011    0.000 __init__.py:1523(_preprocess_data)
        5    0.000    0.000    0.000    0.000 __init__.py:1526(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:154(CompiledSubprocess)
        4    0.000    0.000    0.058    0.014 __init__.py:154(safe_load)
        1    0.000    0.000    0.000    0.000 __init__.py:1578(EggProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:158(AccessorRegistrationWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:1581(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1585(_setup_prefix)
        2    0.000    0.000    0.782    0.391 __init__.py:16(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:1600(DefaultProvider)
        4    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
      356    0.000    0.000    0.008    0.000 __init__.py:1603(_has)
        1    0.000    0.000    0.000    0.000 __init__.py:161(<listcomp>)
       60    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
      146    0.024    0.000    0.063    0.000 __init__.py:1615(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1619(_register)
     1055    0.000    0.000    0.000    0.000 __init__.py:1622(<lambda>)
      170    0.001    0.000    0.002    0.000 __init__.py:163(connect)
        1    0.000    0.000    0.000    0.000 __init__.py:1630(EmptyProvider)
        1    0.000    0.000    0.012    0.012 __init__.py:164(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:164(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1643(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1650(ZipManifests)
      160    0.000    0.000    0.004    0.000 __init__.py:1657(safe_first_element)
        1    0.000    0.000    0.000    0.000 __init__.py:1662(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1668(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:167(ErrorToken)
        1    0.000    0.000    0.000    0.000 __init__.py:1677(MemoizedZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:1679(LoggerAdapter)
      720    0.011    0.000    0.014    0.000 __init__.py:1679(normalize_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1697(ZipProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:17(_get_running_interactive_framework)
        2    0.000    0.000    0.001    0.000 __init__.py:1709(cpu_times)
        1    0.000    0.000    0.000    0.000 __init__.py:171(RaiseOnErrorTokenFilter)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
      720    0.000    0.000    0.000    0.000 __init__.py:1766(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:177(get_supported_platform)
      720    0.000    0.000    0.000    0.000 __init__.py:1771(<listcomp>)
        2    0.000    0.000    0.018    0.009 __init__.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
       20    0.000    0.000    0.000    0.000 __init__.py:180(_remove_proxy)
        1    0.000    0.000    0.000    0.000 __init__.py:1805(Locked)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:1820(TimeoutError)
        1    0.000    0.000    0.000    0.000 __init__.py:185(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.004    0.004 __init__.py:186(_check_versions)
       88    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1872(FileMetadata)
       16    0.000    0.000    0.000    0.000 __init__.py:1884(__init__)
        1    0.000    0.000    0.077    0.077 __init__.py:189(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
       20    0.000    0.000    0.000    0.000 __init__.py:1890(has_metadata)
       16    0.003    0.000    0.007    0.000 __init__.py:1893(get_metadata)
        3    0.000    0.000    0.947    0.316 __init__.py:19(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:19(CompiledValue)
       10    0.000    0.000    0.000    0.000 __init__.py:190(disconnect)
       16    0.000    0.000    0.000    0.000 __init__.py:1902(_warn_on_replacement)
       16    0.000    0.000    0.007    0.000 __init__.py:1910(get_metadata_lines)
      604    0.000    0.000    0.000    0.000 __init__.py:1912(_str_equal)
        1    0.000    0.000    0.000    0.000 __init__.py:1914(PathMetadata)
        1    0.000    0.000    0.004    0.004 __init__.py:192(<module>)
       91    0.000    0.000    0.002    0.000 __init__.py:1925(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        8    0.000    0.000    0.001    0.000 __init__.py:1932(_define_aliases)
      904    0.001    0.000    0.001    0.000 __init__.py:1934(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1939(EggMetadata)
       72    0.000    0.000    0.001    0.000 __init__.py:1952(make_alias)
      100    0.000    0.000    0.000    0.000 __init__.py:1953(method)
        4    0.000    0.000    0.000    0.000 __init__.py:1957(register_finder)
       34    0.000    0.000    0.000    0.000 __init__.py:1967(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
       11    0.000    0.000    1.170    0.106 __init__.py:2(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:200(VisibleWhitespaceFilter)
        2    0.000    0.000    0.000    0.000 __init__.py:2004(find_nothing)
       16    0.000    0.000    0.077    0.005 __init__.py:2011(_by_version_descending)
     5110    0.008    0.000    0.018    0.000 __init__.py:2018(_setattr_cm)
     2555    0.002    0.000    0.002    0.000 __init__.py:2023(<listcomp>)
      904    0.002    0.000    0.057    0.000 __init__.py:2026(_by_version)
      904    0.002    0.000    0.052    0.000 __init__.py:2032(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:2035(virtual_memory)
       15    0.000    0.000    0.001    0.000 __init__.py:2036(_warn_external)
      952    0.003    0.000    0.576    0.001 __init__.py:2037(find_on_path)
