datetime,Dry mixing ratio of species ATO2 (mol mol-1 dry),Dry mixing ratio of species A3O2 (mol mol-1 dry),Dry mixing ratio of species IDHNBOO (mol mol-1 dry),Dry mixing ratio of species ICHOO (mol mol-1 dry),Dry mixing ratio of species IDHNDOO2 (mol mol-1 dry),Dry mixing ratio of species IDHNDOO1 (mol mol-1 dry),Dry mixing ratio of species ICNOO (mol mol-1 dry),Dry mixing ratio of species C4HVP1 (mol mol-1 dry),Dry mixing ratio of species BRO2 (mol mol-1 dry)
2016-01-04 01:30:00,6.578644e-16,2.276447e-14,6.156132e-16,2.3563268e-21,4.0518887e-20,5.765937e-20,2.024411e-17,0.0,7.720447e-15
2016-01-04 02:30:00,6.4006315e-16,2.0846025e-14,5.0639574e-16,2.284912e-21,4.4742497e-20,6.37574e-20,2.525404e-17,0.0,7.275101e-15
2016-01-04 03:30:00,6.2781987e-16,1.9505424e-14,4.0828362e-16,2.2289187e-21,4.9784182e-20,7.129776e-20,3.0942726e-17,0.0,6.893403e-15
2016-01-04 04:30:00,6.2104916e-16,1.8564663e-14,3.2583653e-16,2.1843629e-21,5.599132e-20,8.0607594e-20,3.7399327e-17,0.0,6.5687655e-15
2016-01-04 05:30:00,6.155044e-16,1.7896014e-14,2.588974e-16,2.1467096e-21,6.285892e-20,9.076385e-20,4.4701234e-17,0.0,6.2931583e-15
2016-01-04 06:30:00,6.105605e-16,1.7424344e-14,2.0555748e-16,2.131007e-21,7.2099886e-20,1.04433226e-19,5.3191853e-17,0.0,6.061319e-15
2016-01-04 07:30:00,6.087064e-16,1.71212e-14,1.6333928e-16,2.2533692e-21,8.326513e-20,1.2107545e-19,6.316162e-17,0.0,5.868004e-15
2016-01-04 08:30:00,1.4846915e-14,1.9667738e-13,2.4212379e-17,4.4181914e-20,1.6454052e-18,2.4944678e-18,2.2888694e-16,7.746786e-18,7.2923286e-15
2016-01-04 09:30:00,3.9698334e-14,1.8231395e-13,2.2901006e-17,3.666376e-19,1.05476645e-17,1.858573e-17,7.904323e-16,4.7842767e-17,1.9612001e-14
2016-01-04 10:30:00,6.043871e-14,1.7174916e-13,2.565889e-17,7.648383e-19,1.1723219e-17,2.7226663e-17,6.324836e-16,4.16225e-17,2.9129063e-14
2016-01-04 11:30:00,7.998953e-14,1.8631749e-13,2.1871046e-17,1.0504292e-18,4.780206e-18,1.6860738e-17,2.731969e-16,1.611127e-17,3.6441434e-14
2016-01-04 12:30:00,9.465957e-14,2.020637e-13,1.5200964e-17,1.185034e-18,9.624772e-19,5.692572e-18,8.39199e-17,4.366501e-18,4.0819737e-14
2016-01-04 13:30:00,1.0277955e-13,2.1106265e-13,9.012887e-18,1.1231316e-18,1.6534574e-19,1.4540515e-18,2.3567231e-17,1.020659e-18,4.2190237e-14
2016-01-04 14:30:00,1.0267697e-13,2.0904083e-13,6.062793e-18,9.333471e-19,4.141998e-20,5.2263205e-19,9.012257e-18,2.7781657e-19,4.0581562e-14
2016-01-04 15:30:00,9.378923e-14,1.9598788e-13,4.6562902e-18,6.894262e-19,2.749041e-20,2.3423248e-19,5.312241e-18,1.3171317e-19,3.6447906e-14
2016-01-04 16:30:00,7.651217e-14,1.7397853e-13,3.7322526e-18,4.2967602e-19,2.9871802e-20,1.0845111e-19,3.921241e-18,1.2570578e-19,3.02163e-14
