,analysis_value,geo_2x25,all_2x25
2016-07-05,63.8445,15.269047,14.291334
2016-07-19,23.1605,25.249687,24.09669
2016-07-26,85.20400000000001,55.7631,50.704742
2016-08-02,59.588499999999996,17.09826,15.678776
2016-08-09,54.769,23.999092,22.650806
2016-08-16,61.28,24.812826,26.927437
2016-08-30,59.3885,30.038542,30.459492
2016-09-06,92.4415,80.520615,70.028404
2016-09-12,131.865,100.58206,86.960144
2016-09-20,89.097,69.817116,66.70334
2016-09-27,125.41999999999999,151.92825,131.66142
2016-10-04,101.753,118.9354,118.08629
2016-10-11,225.745,343.2621,288.57755
2016-10-18,234.9625,710.9394,586.2276
2016-10-25,977.228,235.66257,218.40184
2016-11-01,261.3205,526.54956,444.16846
2016-11-08,257.366,300.20255,284.91586
2016-11-15,228.74450000000002,421.76703,401.28265
2016-11-22,503.58299999999997,785.32275,671.76544
2016-11-29,292.601,444.05038,402.9609
2016-12-06,423.649,1461.7644,1201.8921
2016-12-13,601.527,771.85547,783.13153
2016-12-20,528.5409999999999,775.14,730.28625
2016-12-27,589.262,700.20593,636.4281
2016-01-07,685.415,979.4927,907.9635
2016-01-12,641.2855,1146.7272,988.7221
2016-01-22,635.3865000000001,688.8874,670.06525
2016-01-25,674.7304999999999,810.691,726.96576
2016-02-01,717.47,759.14545,675.8025
2016-03-08,498.8185,566.5339,529.82117
2016-03-14,1197.1999999999998,2027.3212,1681.5144
2016-03-23,371.43699999999995,462.67288,426.14484
2016-04-06,282.668,475.69376,435.87024
2016-04-11,568.6020000000001,1783.2787,1470.7932
2016-04-18,132.3345,192.7765,184.31058
2016-05-03,147.334,227.1973,189.61813
2016-05-10,506.36,1120.3495,907.4231
2016-06-10,87.64,121.88887,102.50787
2016-06-13,184.04399999999998,76.03637,81.862564
2016-06-21,64.7935,33.151524,34.02415
2016-06-27,70.4915,25.195744,27.00219
2016-07-04,65.58250000000001,38.51855,33.441853
2016-07-11,87.00999999999999,52.11606,45.31546
2016-07-20,70.957,29.06636,27.750011
2016-07-25,51.685500000000005,29.450966,31.525396
2016-08-02,72.582,101.71837,86.15118
2016-08-08,49.0175,13.382559,12.502405
2016-08-17,62.666999999999994,152.49915,129.5881
2016-08-22,85.121,23.935951,22.801123
2016-09-08,48.358999999999995,36.415966,34.634167
2016-09-16,101.50750000000001,65.39854,65.59632
2016-09-19,100.91199999999999,60.543114,61.677315
2016-09-27,61.587999999999994,90.65053,89.10412
2016-10-06,734.23,984.92755,805.5392
2016-10-11,658.0964999999999,1136.487,921.38116
2016-10-17,293.597,538.47644,449.03262
2016-10-25,930.2155,1844.2937,1496.477
2016-11-03,163.1225,264.63925,238.70853
2016-11-09,268.979,373.3977,360.4364
2016-11-14,88.34299999999999,78.31362,73.81419
2016-11-22,691.7890000000001,1065.7375,882.7433
2016-12-07,167.0185,312.60944,283.63834
2016-12-14,390.722,566.8966,518.8956
2016-12-20,661.896,750.1966,693.3425
2016-12-30,279.1475,490.70602,424.62595
2016-01-06,533.274,995.82306,883.4571
2016-01-13,1035.7005,2191.5193,1852.5702
2016-01-20,655.4095,1306.7543,1138.4229
2016-01-22,739.8035,637.05554,585.5597
2016-02-02,415.42049999999995,485.69177,449.79675
2016-02-10,672.032,1173.1194,1038.3767
2016-02-17,1110.9725,1582.9227,1346.6145
2016-02-24,963.7355,1271.095,1103.7871
2016-03-02,599.713,451.92908,418.2839
2016-04-20,275.584,470.2298,403.39697
2016-05-04,181.897,567.8297,467.23874
2016-05-11,268.5305,431.07315,345.9692
2016-05-18,195.5065,549.5734,444.90607
2016-06-01,364.71299999999997,742.30164,592.4936
2016-06-08,363.0400000000001,365.46472,293.58353
2016-06-15,184.752,346.12396,282.9919
2016-06-22,131.377,308.44974,246.55634
2016-06-28,232.298,300.479,241.65839
2016-07-07,371.04,419.44727,337.26474
2016-07-13,258.87300000000005,393.12357,315.89124
